2.6073 	WARNING 	Movie2 stim could not be imported and won't be available
185.3294 	DATA 	Keypress: left
185.5126 	DATA 	Keypress: left
185.6792 	DATA 	Keypress: left
185.8460 	DATA 	Keypress: left
186.0128 	DATA 	Keypress: left
186.1959 	DATA 	Keypress: left
186.7459 	DATA 	Keypress: left
187.6293 	DATA 	Keypress: down
187.6294 	DATA 	RatingScale bdm_bid: (key response) rating=0.84
187.6294 	DATA 	RatingScale bdm_bid: rating RT=4.901
187.6294 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.8399999999999994, 4.901)]
187.6299 	EXP 	New trial (rep=0, index=12): {u'bdm_img': u'36-fig_rolls.png'}
187.6419 	EXP 	RatingScale bdm_bid: reset()
187.6470 	EXP 	fixation_text: autoDraw = False
187.6470 	EXP 	bdm_pic: autoDraw = False
187.6470 	EXP 	bdm_bid: autoDraw = False
187.6470 	EXP 	bdm_pic: size = array([ 0.6       ,  0.75185185])
187.6470 	EXP 	bdm_pic: image = u'stimuli/itempics/modified/small/36-fig_rolls.png'
187.6470 	EXP 	fixation_text: autoDraw = True
188.6452 	EXP 	fixation_text: autoDraw = False
188.6619 	EXP 	bdm_pic: autoDraw = True
190.7459 	DATA 	Keypress: left
190.9458 	DATA 	Keypress: left
191.1126 	DATA 	Keypress: left
191.2791 	DATA 	Keypress: left
191.4458 	DATA 	Keypress: left
191.6291 	DATA 	Keypress: left
191.8125 	DATA 	Keypress: left
191.9959 	DATA 	Keypress: left
192.1625 	DATA 	Keypress: left
193.1125 	DATA 	Keypress: down
193.1125 	DATA 	RatingScale bdm_bid: (key response) rating=0.22
193.1126 	DATA 	RatingScale bdm_bid: rating RT=4.467
193.1126 	DATA 	RatingScale bdm_bid: history=[(1.5, 0.0), (0.21999999999999914, 4.467)]
193.1130 	EXP 	New trial (rep=0, index=13): {u'bdm_img': u'49-yorkie.png'}
193.1204 	EXP 	RatingScale bdm_bid: reset()
193.1284 	EXP 	fixation_text: autoDraw = False
193.1284 	EXP 	bdm_pic: autoDraw = False
